title,chapter,department,ownerEmail,approverEmail,dueDate,status,templateUrl,definitionOfDone
Executive Summary,1,executive,coceo1@example.com,coceo2@example.com,2026-05-10,draft,/templates/executive-summary.md,"complete, accurate, reviewed, correct format, usable by next cohort"
Renni Overview and Brand Architecture,2,marketing,cmo@example.com,coceo1@example.com,2026-05-06,draft,/templates/brand-architecture.md,"complete, accurate, reviewed, correct format, usable by next cohort"
Company Structure and Continuity,3,executive,coceo1@example.com,coceo2@example.com,2026-05-07,draft,/templates/continuity.md,"complete, accurate, reviewed, correct format, usable by next cohort"
Business Model Canvas,4,executive,coceo2@example.com,coceo1@example.com,2026-05-05,draft,/templates/bmc.md,"complete, accurate, reviewed, correct format, usable by next cohort"
House Phoenix Brand Book,5,marketing,csgo@example.com,cmo@example.com,2026-05-08,draft,/templates/house-phoenix-brand-book.md,"complete, accurate, reviewed, correct format, usable by next cohort"
Supporting Brand Sheets,6,marketing,csgo@example.com,cmo@example.com,2026-05-08,draft,/templates/supporting-brand-sheet.md,"complete, accurate, reviewed, correct format, usable by next cohort"
Current Product Line and Pricing,7,finance,cfo@example.com,coceo1@example.com,2026-05-05,draft,/templates/current-product-line-pricing.md,"complete, accurate, reviewed, correct format, usable by next cohort"
Finance and Revenue Model,8,finance,cfo@example.com,coceo1@example.com,2026-05-09,draft,/templates/finance-revenue-model.md,"complete, accurate, reviewed, correct format, usable by next cohort"
Operations and Continuity Systems,9,operations,coo@example.com,coceo2@example.com,2026-05-09,draft,/templates/operations-systems.md,"complete, accurate, reviewed, correct format, usable by next cohort"
Marketing and Campaign Playbook,10,marketing,cmo@example.com,csgo@example.com,2026-05-08,draft,/templates/marketing-playbook.md,"complete, accurate, reviewed, correct format, usable by next cohort"
Phoenix Nest Retail Carry Pitch,11,executive,cmo@example.com,coceo1@example.com,2026-05-10,draft,/templates/phoenix-nest-pitch.md,"complete, accurate, reviewed, correct format, usable by next cohort"
Strategy and Next-Semester Recommendations,12,strategy-growth,strategy@example.com,coceo2@example.com,2026-05-11,draft,/templates/strategy-growth.md,"complete, accurate, reviewed, correct format, usable by next cohort"
Decision Log and Appendices,13,executive,coceo2@example.com,coceo1@example.com,2026-05-11,draft,/templates/decision-log.md,"complete, accurate, reviewed, correct format, usable by next cohort"
